label,url,filepath,width,height
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5fmPDWGfeHedaKN8x2KdAWvAaTIpRQ0LmOAGUvXh9stgMilXULjye_87R&s,image_dataset/Cats/Cats_1.jpg,46,47
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6T6ig07FB2SosBXLn2tTV5s9rC6HoxTIxwQ&s,image_dataset/Cats/Cats_2.jpg,224,225
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5r1QuqSE9my4HycQA3dT-zbuXaOxRsj8sAg&s,image_dataset/Cats/Cats_3.jpg,275,183
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdaR-66ZFKXaQLf0ULnXEB-yng2JbR4ijjww&s,image_dataset/Cats/Cats_4.jpg,300,168
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIAAMh1ztNH_0758uUdZtunB_D47K0853dAg&s,image_dataset/Cats/Cats_5.jpg,275,183
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW2MuVa2gUwyfwaqQVOw_uoIP6175B8y1glA&s,image_dataset/Cats/Cats_6.jpg,372,135
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUMr9oZ5V0H2fOXGkFINBa15adAuFJ9JZdqQ&s,image_dataset/Cats/Cats_7.jpg,275,183
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxBymMG_TfIXTIIRRhRJJiI5b2t5nKYabERw&s,image_dataset/Cats/Cats_8.jpg,194,259
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTH7vDN07mCqaSv-VvdFX3VYd2Ic9uFyha4kA&s,image_dataset/Cats/Cats_9.jpg,300,168
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYvEqpaaXwHmi20BtR7fNUzpb9MYEZQ-MhZA&s,image_dataset/Cats/Cats_10.jpg,272,185
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdKYe00NaD5SQjIMvXYPssq0r1dXJggL3ZIg&s,image_dataset/Cats/Cats_11.jpg,275,183
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAjnFL_rE56EA6Kd_sNIkiYy8qxnhrTZYUhg&s,image_dataset/Cats/Cats_12.jpg,225,225
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-QCKkjwSHE9Kzr_avfXC9l42QXM-8qByw7Q&s,image_dataset/Cats/Cats_13.jpg,275,183
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQaLYJwDzkrRmd-UnNoInMw3DlXLqWx9YSFNw&s,image_dataset/Cats/Cats_14.jpg,241,210
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-YIGV8GTRHiW_KACLMhhi9fEq2T5BDQcEyA&s,image_dataset/Cats/Cats_15.jpg,220,230
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREyncFVRz9hkf3Vl5mVWiKV4goJ4yf1KAgaQ&s,image_dataset/Cats/Cats_16.jpg,225,224
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkkNddrOpv7Ya4aSrC3yMJzEBISrJWNi9wvw&s,image_dataset/Cats/Cats_17.jpg,274,184
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjzJyXFwIWX7XY5FSFuAdtFeZmM47jxgpY2w&s,image_dataset/Cats/Cats_18.jpg,358,141
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJyMj8zPksmoCXVdMSxAcsY3m0eKJSefDQVA&s,image_dataset/Cats/Cats_19.jpg,275,183
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1C8HMDleZTQG44cEo86g3_3JCmEoT9MdQ9g&s,image_dataset/Cats/Cats_20.jpg,300,168
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSztReMuWeE9M_Ck6B5SUWgxdxmDfaIuJLw5g&s,image_dataset/Cats/Cats_21.jpg,275,183
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcROkSOp-62U5_QE0YOfqRzaRCWIfSUEzy9FCMv5TLVy&s=0,image_dataset/Cats/Cats_22.jpg,50,50
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwopaXaaC6q8Jc9bCWJaPhkpw_b5j72yP4ENq7E33yxB7JtzDliVSy&s=0,image_dataset/Cats/Cats_23.jpg,50,50
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYQ05y-Fg5r6AdMG-79L8E0e9xJOVzfC4cIiI3Nq9xTxz9saqbektN&s=0,image_dataset/Cats/Cats_24.jpg,50,50
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBWQ4BpWPPCifXb30i5hOWoQZ4ECp71KPPLw&s,image_dataset/Cats/Cats_25.jpg,183,275
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTziCfaBKWyBQVmi4usD-mZ5CaJFkl_ALc-xQ&s,image_dataset/Cats/Cats_26.jpg,300,168
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuHUlP6F15TiQpEK3oo9uzyvk0gFBypWJqAA&s,image_dataset/Cats/Cats_27.jpg,275,183
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGnK6Dz9re3JRrKS1hr4bd2W3v6_SL1MB2LQ&s,image_dataset/Cats/Cats_28.jpg,181,278
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSawl-jH4Yxv_fYDpa6zuYo-03JRImm8k4aaA&s,image_dataset/Cats/Cats_29.jpg,253,199
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNSj-1voW7JrUD2OvrLKgSXUWDTBRyU-iKsQ&s,image_dataset/Cats/Cats_30.jpg,275,183
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXdsbCB3krnF1GVou2QjDiecGBBGIUq3Zj9w&s,image_dataset/Cats/Cats_31.jpg,170,297
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSb-gEhzmCl0W5MAv0JbeMO9Ox4iTwlh_27fg&s,image_dataset/Cats/Cats_32.jpg,373,135
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQC9rR-D1U2oNnWXKlMWXGGkEjiGDCio29Kow&s,image_dataset/Cats/Cats_33.jpg,300,168
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtAFjFXa2l5hCRKEaTr-jP7Hsz5k-UdddIMg&s,image_dataset/Cats/Cats_34.jpg,300,168
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXUjD66P2JfKN2UUbK3BepXxoVuuEVZq0Rdg&s,image_dataset/Cats/Cats_35.jpg,275,183
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRIbx_27VDquUIxFP53tNSdJhcxJiYVcMxgcg&s,image_dataset/Cats/Cats_36.jpg,300,168
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSB4RVsCzdWnpo9WNUEZqRWMG5JT5HYm7TJXA&s,image_dataset/Cats/Cats_37.jpg,290,174
Cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxlgls0oPve-WhLLvCelHRHYYWSn5du54ftQ&s,image_dataset/Cats/Cats_38.jpg,270,187
Dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_jXuLXgTXe0vPDZi1tsUmP-3H41WtposH3SnXK4akmxEy6fnin4cXllPD&s,image_dataset/Dogs/Dogs_1.jpg,46,46
Dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4g0jKpurBW3aiff0Pan75DMhpZCHzXE3TgQ&s,image_dataset/Dogs/Dogs_2.jpg,280,180
Dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGqBaPewKXmtOkVH-5Cj6Fp9Wap-6FqqHlgA&s,image_dataset/Dogs/Dogs_3.jpg,275,183
Dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0H17kdxaLyJdvcPWT90ixLTNnLWoYE1DV5Q&s,image_dataset/Dogs/Dogs_4.jpg,260,194
Dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzuNYA0HMlDzpHyjC1QI0z6RALvNSj-JbK6A&s,image_dataset/Dogs/Dogs_5.jpg,288,175
Dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT14YqA098fyS4lzgeXzB9ixHL54ckRN0v3UQ&s,image_dataset/Dogs/Dogs_6.jpg,300,168
Dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-7TOInp_nBpD0xu-XTrXPoQeG9GFC11Z7QA&s,image_dataset/Dogs/Dogs_7.jpg,366,137
Dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnjMdiD3T-iB9aXRemZPIlZU50GTmTD_AFEQ&s,image_dataset/Dogs/Dogs_8.jpg,275,183
Dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwAB0UiSYueQMTlnWgm_91qxfy_IHqtKq4yQ&s,image_dataset/Dogs/Dogs_9.jpg,275,183
Dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQc59BJy-F4LscksbZAxXWuw-TTGmxgYdnyg&s,image_dataset/Dogs/Dogs_10.jpg,313,161
Dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqxfTVVwh1IkVw1bgnsZx4ftUAYtiDD4TicQ&s,image_dataset/Dogs/Dogs_11.jpg,360,140
Dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPPw-PI8FAWh4i_soU2DyN7tKVt3y94_oCzQ&s,image_dataset/Dogs/Dogs_12.jpg,259,194
Dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_YDvuZPXuKLpvzIQoBL6y2IBVOsvaFD0nyw&s,image_dataset/Dogs/Dogs_13.jpg,275,183
Dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRk7YxqaweONp_Tn7TSi259j_nKyy6i0R_9Vg&s,image_dataset/Dogs/Dogs_14.jpg,259,194
Dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTANgG48zF5TbumEN9S6M1o0PxCv5rf2eMBA&s,image_dataset/Dogs/Dogs_15.jpg,199,253
Dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUwYmebAoxi8eIAGh3XLWt9ps-KdpCxbENjQ&s,image_dataset/Dogs/Dogs_16.jpg,299,168
Dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNwOkqxaH0_M1HNz5CH9ns001VVqGmpYyKkA&s,image_dataset/Dogs/Dogs_17.jpg,360,140
Dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWp6DKXg1mYH7YhgQrqb6hTaJEqarKWz55nA&s,image_dataset/Dogs/Dogs_18.jpg,378,133
Dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXcOnAHY19T4XFYHKYrY6MzAiFe24riXAtww&s,image_dataset/Dogs/Dogs_19.jpg,291,173
Dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTl-hh6P-XrWYK2iUgp32Syf-XWnuVdtaWVEw&s,image_dataset/Dogs/Dogs_20.jpg,201,251
Dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUwkXCDnoKyiOnW6dQORpO2f6-FTp2YAS97g&s,image_dataset/Dogs/Dogs_21.jpg,300,168
Dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTt89nu5HcX65UCAUlQG6ZRP6UDiqelNSnTJg&s,image_dataset/Dogs/Dogs_22.jpg,275,183
Dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyd1FWRKwZkW3dOhc_DW32RuvGnffoZwgX8g&s,image_dataset/Dogs/Dogs_23.jpg,275,183
Dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMroCt9F2EYOngT7LrHw1Nb4au0mZ0waGgCndMcD-H&s=0,image_dataset/Dogs/Dogs_24.jpg,50,50
Dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnqqJHYaDjvXDCBCVLPo5UZ_XLESTx6OgTCpOY4oFH_hA_T_rmCDkE&s=0,image_dataset/Dogs/Dogs_25.jpg,50,50
Dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmt22r2-YRaRc5ItW7ZqyaKoexAj0mv9sLwkDBsF0G&s=0,image_dataset/Dogs/Dogs_26.jpg,50,50
Dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdFR_N_8G1b03T2DFuo_ZeNwrSo5KFqih8eA&s,image_dataset/Dogs/Dogs_27.jpg,259,194
Dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtnrFzOIbAuid-UaWZqCklJgwwQGi50RrnRg&s,image_dataset/Dogs/Dogs_28.jpg,195,259
